Marque,Modèle,Année,Kilométrage,Energie,Puissance fiscale,Puissance (ch.din),Cylindrée,Boite vitesse,Catégorie,Prix
mercedesbenz,classee,2018,154000,essence,9,156,1600,Automatique,Occasion,118000
mercedesbenz,cla,2021,69000,hybride rechargeable essence,8,0,1300,Automatique,Occasion,174000
chery,tiggo3x,2022,15000,essence,6,102,998,Automatique,Occasion,62000
peugeot,partner1.6lhdi90ch24650kg,2024,0,diesel,5,92,1560,Manuelle,Neuf,67490
ford,fiesta,2015,183000,essence,5,0,1234,Manuelle,Occasion,31500
peugeot,308,2009,230000,diesel,5,0,1560,Manuelle,Occasion,31000
bmw,série1,2019,210000,essence,7,0,1500,Automatique,Occasion,73000
kia,ev6gtawd,2024,0,electrique,11,585,0,Automatique,Neuf,262980
landrover,rangeroversport,2014,130000,diesel,16,0,3000,Automatique,Occasion,198000
volkswagen,troc,2024,9000,hybride essence,8,0,1499,Automatique,Occasion,155000
mercedesbenz,glecoupé,2022,30000,hybride rechargeable diesel,8,194,2000,Automatique,Occasion,420000
volkswagen,polo1.0ldrive,2024,0,essence,5,95,999,Manuelle,Neuf,85480
volkswagen,golf7,2018,70000,essence,6,0,1200,Automatique,Occasion,84000
volkswagen,golf8,2020,40000,hybride rechargeable essence,6,150,1400,Automatique,Occasion,132000
fiat,500,2023,3000,essence,5,85,1200,Automatique,Occasion,62000
volkswagen,polo,2006,144000,essence,4,0,999,Manuelle,Occasion,21900
greatwall,m4,2019,100000,essence,6,94,1497,Manuelle,Occasion,39000
mercedesbenz,classec,2022,29000,essence,9,170,1500,Automatique,Occasion,228000
ford,focus,2017,90000,essence,6,125,999,Manuelle,Occasion,48000
landrover,rangerovervelar2.0lp250s,2024,0,essence,15,250,1998,Automatique,Neuf,396500
mg,5,2022,37000,essence,7,0,1498,Automatique,Occasion,55000
bmw,série7,2018,80000,essence,15,0,2000,Automatique,Occasion,275000
volkswagen,polo,2019,77000,essence,4,75,1000,Manuelle,Occasion,60000
peugeot,partneroriginutilitaire,2019,73000,diesel,5,110,1559,Manuelle,Occasion,56000
mercedesbenz,classec,2018,86000,essence,8,0,1595,Automatique,Occasion,145000
suzuki,dzire,2022,3500,essence,5,85,1197,Manuelle,Occasion,50000
audi,q3,2017,95000,essence,7,0,1599,Automatique,Occasion,95000
ssangyong,tivoli,2020,100000,essence,6,128,3000,Manuelle,Occasion,62000
jaguar,xf,2019,66000,essence,16,240,1999,Automatique,Occasion,125000
mercedesbenz,classee,2022,15000,essence,9,156,1499,Automatique,Occasion,248000
renault,kadjar,2019,157935,essence,7,0,1197,Automatique,Occasion,55000
audi,a3sportback,2009,222000,diesel,5,105,1598,Manuelle,Occasion,40000
mercedesbenz,glc,2017,40000,essence,12,211,2000,Automatique,Occasion,145000
chery,tiggo8,2022,49500,essence,9,0,1600,Automatique,Occasion,92500
mercedesbenz,classea,2022,15000,essence,8,0,0,Automatique,Occasion,172000
ssangyong,tivoli,2021,55000,essence,7,128,999,Manuelle,Occasion,62000
bmw,série1,2015,115000,essence,9,170,1600,Automatique,Occasion,62000
porsche,cayenne,2003,220000,essence,27,340,4500,Automatique,Occasion,45000
mercedesbenz,glccoupé,2020,70000,hybride rechargeable essence,12,211,1991,Automatique,Occasion,247000
seat,arona1.0tsixperience,2024,0,essence,6,116,999,Automatique,Neuf,94980
mg,zs,2020,102000,essence,7,0,1498,Automatique,Occasion,70000
mercedesbenz,glchybride350e4maticamg,2024,0,essence | hybride rechargeable,9,204,1999,Automatique,Neuf,418000
mazda,cx7,2011,154667,essence,15,238,1530,Automatique,Occasion,29600
skoda,scala1.0ltsidsgessence,2024,0,essence,6,116,999,Automatique,Neuf,88980
ford,fiesta,2012,105000,essence,5,82,1198,Manuelle,Occasion,31900
bmw,x420ixdrivepackm,2024,0,essence,11,184,1998,Automatique,Neuf,434900
mercedesbenz,classes,2007,151000,essence,19,272,3499,Automatique,Occasion,95000
landrover,rangeroverevoque,2018,145000,diesel,8,0,2000,Automatique,Occasion,120000
kia,rio5p,2020,35000,essence,5,84,1198,Manuelle,Occasion,58500
landrover,discoverysport,2015,94000,diesel,8,0,0,Automatique,Occasion,118000
volkswagen,caddy,2022,38000,diesel,7,0,1998,Manuelle,Occasion,68000
dacia,logan1.0ltce2023,2024,0,essence,5,100,999,Manuelle,Neuf,62500
mercedesbenz,glb20024amg,2024,0,essence,9,163,1332,Automatique,Neuf,226000
audi,a4,2009,277000,essence,7,0,1798,Manuelle,Occasion,34900
renault,clio,2002,289000,essence,4,0,899,Manuelle,Occasion,23000
peugeot,208,2021,28500,essence,5,75,999,Manuelle,Occasion,49500
hyundai,i20,2022,47000,essence,5,84,3000,Manuelle,Occasion,60000
mercedesbenz,glccoupé,2021,49500,hybride rechargeable essence,12,211,2000,Automatique,Occasion,263000
fiat,doblo,2021,41000,essence,6,0,1368,Manuelle,Occasion,51000
mahindra,kuv100,2022,10000,essence,5,0,1198,Manuelle,Occasion,38000
kia,sorento,2015,352000,diesel,12,200,2200,Automatique,Occasion,72000
peugeot,partner,2020,114000,diesel,5,0,1560,Manuelle,Occasion,47000
infiniti,fx,2007,180000,essence,20,0,3500,Automatique,Occasion,43000
peugeot,308,2020,102000,essence,5,0,1200,Manuelle,Occasion,50000
jeep,grandcherokee,2015,132000,essence,20,0,3598,Automatique,Occasion,180000
fiat,qubo,2009,250000,diesel,6,0,900,Manuelle,Occasion,25000
nissan,qashqai,2009,289000,diesel,9,150,2000,Manuelle,Occasion,37000
bmw,série3,2017,117000,essence,7,0,1600,Automatique,Occasion,79000
citroën,c4cactus,2020,148000,diesel,6,102,1500,Manuelle,Occasion,58000
suzuki,swift,2022,65000,essence,5,85,1200,Manuelle,Occasion,39000
landrover,defender110,2014,115000,diesel,8,0,2198,Manuelle,Occasion,200000
fiat,doblo,2017,15000,diesel,5,0,3030,Manuelle,Occasion,27500
toyota,landcruiser764.2l,2024,0,diesel,11,130,4164,Manuelle,Neuf,224998
landrover,rangerovervelar,2019,100000,diesel,19,300,0,Automatique,Occasion,350000
peugeot,3008,2020,112000,essence,7,0,1599,Automatique,Occasion,69000
bmw,serie3320ipackm,2024,0,essence,9,170,1598,Automatique,Neuf,249900
mercedesbenz,cla,2020,100000,essence,7,0,1298,Automatique,Occasion,144900
mercedesbenz,gla,2021,91000,essence,9,0,1332,Automatique,Occasion,182000
landrover,rangeroverevoque,2016,106000,essence,15,0,2000,Automatique,Occasion,98000
dfsk,k02s,2019,99000,essence,6,0,999,Manuelle,Occasion,18500
volkswagen,polo,2020,128000,essence,4,80,999,Manuelle,Occasion,42800
suzuki,baleno,2017,160000,essence,5,0,1200,Automatique,Occasion,40000
hyundai,grandi10,2017,134000,essence,5,87,1200,Manuelle,Occasion,37000
